# temp press mean std stdofmean min max
1500 20 -867.100206257 4.64606038144 1.4692132952 -873.846133545 -859.093152901
1500 30 -1327.26873633 38.3234296694 12.1189325504 -1377.19810523 -1275.19149371
1500 40 -959.0942641 330.314126757 104.454498388 -1128.48625338 29.8679520544

1800 20 -197.95190995 5.57588671378 1.76325019906 -206.792628392 -184.794354321
1800 30 -675.945144807 3.59845148948 1.13793027564 -682.77535476 -669.551871578
1800 40 -789.266428005 3.01424380917 0.953187586005 -794.448085146 -784.404328236

2000 20 270.850161854 4.31063742488 1.36314324298 265.367442567 278.823625083
2000 30 -224.535757559 3.55955554562 1.1256302982 -231.010758297 -219.661837701
2000 40 -465.029390886 6.05029860741 1.91327241236 -476.874340668 -454.907820272

2200 20 769.800342538 2.31247530285 0.73126889899 764.81661267 773.229917388
2200 30 234.823775391 3.57687028604 1.13110569989 230.585438624 243.821881374
2200 40 -34.3352160477 4.13938473802 1.30898838839 -41.9872598609 -26.1369154433

2400 20 1186.18775195 3.62755686136 1.14713420237 1179.44507026 1190.2923685
2400 30 699.599750995 2.63257105535 0.832492063715 696.120330824 704.628259081
2400 40 411.464723114 5.01651443148 1.58636115186 405.63429195 420.944067753

2500 20 1346.02715199 2.55225759163 0.8070947165 1340.63422372 1348.8075277
2500 30 926.406430016 2.14291729184 0.677649947956 922.341876042 930.172749718
2500 40 639.611248445 4.33256688988 1.37007794871 633.119149418 647.282311184
