#press temp mean
27.5 1800 -0.6304447849852403
27.5 2000 -0.4058472949658235
27.5 2200 -0.1009300779306016

30.0 1500 -0.03604359638250778
30.0 1750  0.010184367398098235
30.0 1800  0.019945196870495837
30.0 2000  0.15005760009401081
30.0 2200  0.36069614714830023

32.5 1800 0.82904050501288562
32.5 2000 0.86404620757786543
32.5 2200 0.90888469908760283
